"Plot","Treatment","Replicate","Block","N","P","K","NO3_ppm","NH4_ppm","N_ppm","PO4_ppm","K_ppm","Ca_ppm","Mg_ppm","Na_ppm","NO3.dep","NH4.dep","N.dep","PO4.dep","K.dep","Ca.dep","Mg.dep","Na.dep"
"1","P",1,1,"FALSE","TRUE","FALSE",0.184656154166667,0.181430797916667,0.366086952083333,0.316501003465833,2.85111111111111,1.65333333333333,0.776666666666667,15.4166666666667,2.91904621072089,2.43940764787431,5.35845385859519,3.86977687413997,28.6095707537482,26.3914561511604,11.9038817005545,234.237009652906
"10","NK",1,2,"TRUE","FALSE","TRUE",0.141636197916667,0.108500458333333,0.25013665625,0.0589808643775,1.11286808333333,1.50666666666667,0.64,11.6333333333333,2.5533595604847,1.33518101252824,3.88854057301294,0.899164310056224,12.0317405011296,17.3197781885397,7.38344629287327,132.737728486342
"11","N",2,2,"TRUE","FALSE","FALSE",0.19143019375,0.263712860416667,0.455143054166667,0.08654171019,2.03611111111111,1.64666666666667,0.956666666666667,11.12,2.37010823192647,2.32747672391662,4.69758495584309,0.920533297306557,18.0711302800027,13.4319162045594,7.83323064284247,90.3347710002054
"12","C",2,1,"FALSE","FALSE","FALSE",0.138233058333333,0.164822858333333,0.303055916666667,0.087883275536875,3.38333333333333,1.665,0.79,12.89,2.08030410505237,2.17891931864859,4.25922342370097,1.21923496719938,34.0028753337441,14.362292051756,6.81454097350585,111.189155884165
"13","PK",2,1,"FALSE","TRUE","TRUE",0.0871381125,0.23250385,0.3196419625,0.602430255542917,3.51166666666667,2.03,0.845,10.885,1.02920401519819,1.92025871970631,2.9494627349045,5.86716556437179,37.5929348942288,15.0092421441775,6.24768946395564,80.4805914972274
"14","P",2,2,"FALSE","TRUE","FALSE",0.113690083333333,0.283339983333333,0.397030066666667,0.453624104954583,3.52666666666667,2.44333333333333,1.18666666666667,10.7266666666667,1.27744621585541,3.50226206869994,4.77970828455535,10.4517214328615,32.1873074553296,23.5325528856028,11.1727254056274,102.049702197576
"15","NP",2,1,"TRUE","TRUE","FALSE",0.148451602083333,0.21461749375,0.363069095833333,0.235692764035625,2.19413985185185,1.6,0.926666666666667,9.78333333333333,2.27922388324091,2.94211245122202,5.22133633446293,4.9522838960513,22.3988286894411,16.660505237215,9.15999178476074,109.587184226741
"17","NPK",2,2,"TRUE","TRUE","TRUE",0.174090933333333,0.247341435416667,0.42143236875,0.315596118082917,2.60611111111111,2.035,0.885,9.43,1.57137893561306,2.15426636116246,3.72564529677552,2.85798191900468,19.3260080783186,18.7307455329636,8.17005545286505,81.81146025878
"18","K",2,2,"FALSE","FALSE","TRUE",0.148632277083333,0.27052823125,0.419160508333333,0.115618264980833,2.93333333333333,1.96,0.75,11.21,2.14258532552885,1.96326928270692,4.10585460823578,1.19346616096722,34.6587252687067,16.8330252618608,6.34627233518176,96.7221195317316
"19","K",3,1,"FALSE","FALSE","TRUE",0.149970010416667,0.132492610416667,0.282462620833333,0.0548112111435417,3.01333333333333,1.16,0.43,8.905,2.44078712646334,2.15865933584925,4.59944646231259,1.24644422109186,50.910864653933,14.8243992606285,5.4713493530499,113.758471965496
"2","K",1,1,"FALSE","FALSE","TRUE",0.20056435,0.206417961458333,0.406982311458333,0.181931849598958,2.02631404166667,1.28333333333333,0.786666666666667,9.98666666666667,2.41629079893202,2.91589245353255,5.33218325246457,1.55455923115244,34.8799300677757,19.4947627849661,12.6062846580407,145.927295132471
"20","NPK",3,1,"TRUE","TRUE","TRUE",0.114790383333333,0.267272054166667,0.3820624375,0.311972560994792,4.47722222222222,2.245,0.97,10.63,1.40419652906141,2.72908811229205,4.13328464135346,3.32119053313103,44.8942287944136,22.969808995687,9.55021565003083,111.731361675909
"21","PK",3,2,"FALSE","TRUE","TRUE",0.111885508333333,0.223772229166667,0.3356577375,0.49494719217125,3.40722222222222,2.25333333333333,0.853333333333333,10.88,1.39662503850893,2.36499922725406,3.76162426576299,5.62355155687052,35.4692955432327,18.0879030601766,6.80016430478538,87.652495378928
"22","NP",3,2,"TRUE","TRUE","FALSE",0.179621595833333,0.168449352083333,0.348070947916667,0.339685980047917,3.06888888888889,1.395,0.745,15.575,1.66670729102485,1.73534443545903,3.40205172648388,4.63235778903599,37.7613472992401,10.8133086876155,5.76093653727665,124.710412815773
"23","N",3,1,"TRUE","FALSE","FALSE",0.172436320833333,0.228523771875,0.400960092708333,0.128376073615833,4.635,NA,NA,NA,1.95292975456973,1.84051717177552,3.79344692634524,1.08759326244634,46.4140480591498,NA,NA,NA
"24","P",3,1,"FALSE","TRUE","FALSE",0.127709372916667,0.228124125,0.355833497916667,0.940284450069792,7.62,2.95,1.35,9.6,1.68602195265968,2.84607729513247,4.53209924779215,10.47635926462,55.3193674265763,39.9876771410967,18.2994454713494,130.129390018484
"26","C",3,2,"FALSE","FALSE","FALSE",0.212028858333333,0.257608914583333,0.469637772916667,0.125047926057708,3.63811441666667,2.94,1.19,10.38,2.29788501489012,2.51229454713493,4.81017956202506,1.35452075989538,30.8088893167659,25.3604436229205,10.2649414664202,89.5378927911275
"27","NK",3,2,"TRUE","FALSE","TRUE",0.171294241666667,0.149477510416667,0.320771752083333,0.0899133012835417,2.15666666666667,1.47,0.615,13.37,2.09265114884987,1.56909507855822,3.66174622740809,1.11733724733942,20.9355103717396,9.27911275415897,3.91866913123845,83.4842883548984
"28","N",4,1,"TRUE","FALSE","FALSE",0.0725751958333333,0.133486042708333,0.206061238541667,0.0791263072491667,2.34833333333333,0.865,0.48,9.585,0.823856942360627,1.72055217722678,2.54440911958741,1.04415311223215,30.067775723968,8.97720271102896,5.04621072088725,100.702402957486
"29","NPK",4,1,"TRUE","TRUE","TRUE",0.206760079166667,0.50958636875,0.716346447916667,0.43023351951125,3.12555555555556,1.265,0.555,12.265,2.97739220902682,5.10630363773947,8.0836958467663,5.8243182948314,30.0288452990746,12.5291288474449,5.49709861045972,121.357445673665
"3","NP",1,2,"TRUE","TRUE","FALSE",0.249279964583333,0.233394482291667,0.482674446875,0.544210146230833,3.67620141666667,1.55,1.60333333333333,9.60333333333333,3.02208200092422,2.06814474032142,5.09022674124564,6.00521694183944,30.3184820805093,13.7030191004313,13.4812076401725,85.2043540768126
